,cash,dates
675,106795.76536311462,2016-06-24
676,108701.8614129011,2016-06-27
677,108701.8614129011,2016-06-27
678,108701.8614129011,2016-06-28
679,107412.35976067778,2016-06-29
680,117627.04476067777,2016-06-30
681,117627.04476067777,2016-06-30
682,117627.04476067777,2016-07-01
683,116681.57056115185,2016-07-05
684,116681.57056115185,2016-07-06
685,117903.03294904136,2016-07-07
686,117903.03294904136,2016-07-07
687,117903.03294904136,2016-07-08
688,117903.03294904136,2016-07-11
689,117903.03294904136,2016-07-12
690,117903.03294904136,2016-07-13
691,117903.03294904136,2016-07-14
692,117903.03294904136,2016-07-15
693,117903.03294904136,2016-07-18
694,117903.03294904136,2016-07-19
695,117903.03294904136,2016-07-20
696,115972.11355930925,2016-07-21
697,117633.0237475506,2016-07-22
698,117633.0237475506,2016-07-22
699,117633.0237475506,2016-07-25
700,117633.0237475506,2016-07-26
701,117633.0237475506,2016-07-27
702,117633.0237475506,2016-07-28
703,117633.0237475506,2016-07-29
704,116024.50549868142,2016-08-01
705,126541.68424868143,2016-08-02
706,126541.68424868143,2016-08-02
707,126541.68424868143,2016-08-03
708,126541.68424868143,2016-08-04
709,126541.68424868143,2016-08-05
710,126541.68424868143,2016-08-08
711,126541.68424868143,2016-08-09
712,124967.97566942932,2016-08-10
713,126662.76628563368,2016-08-11
714,126662.76628563368,2016-08-11
715,126662.76628563368,2016-08-12
716,126662.76628563368,2016-08-15
717,126662.76628563368,2016-08-16
718,126662.76628563368,2016-08-17
719,126662.76628563368,2016-08-18
720,126662.76628563368,2016-08-19
721,126662.76628563368,2016-08-22
722,126662.76628563368,2016-08-23
723,126662.76628563368,2016-08-24
724,126662.76628563368,2016-08-25
725,126662.76628563368,2016-08-26
726,126662.76628563368,2016-08-29
727,126662.76628563368,2016-08-30
728,126662.76628563368,2016-08-31
729,126662.76628563368,2016-09-01
730,126662.76628563368,2016-09-02
731,126662.76628563368,2016-09-06
732,126662.76628563368,2016-09-07
733,126662.76628563368,2016-09-08
734,125544.69748958052,2016-09-09
735,126493.62538310798,2016-09-12
736,126493.62538310798,2016-09-12
737,126493.62538310798,2016-09-13
738,126493.62538310798,2016-09-14
739,125173.69577161009,2016-09-15
740,127091.57849841035,2016-09-16
741,127091.57849841035,2016-09-16
742,127091.57849841035,2016-09-19
743,127091.57849841035,2016-09-20
744,127091.57849841035,2016-09-21
745,125795.279001638,2016-09-22
746,125795.279001638,2016-09-23
747,136258.345251638,2016-09-26
748,136258.345251638,2016-09-26
749,136258.345251638,2016-09-27
750,136258.345251638,2016-09-28
751,136258.345251638,2016-09-29
752,136258.345251638,2016-09-30
753,136258.345251638,2016-10-03
754,136258.345251638,2016-10-04
755,136258.345251638,2016-10-05
756,136258.345251638,2016-10-06
757,136258.345251638,2016-10-07
758,136258.345251638,2016-10-10
759,136258.345251638,2016-10-11
760,136258.345251638,2016-10-12
761,136258.345251638,2016-10-13
762,136258.345251638,2016-10-14
763,136258.345251638,2016-10-17
764,134765.20589145398,2016-10-18
765,134765.20589145398,2016-10-19
766,134765.20589145398,2016-10-20
767,136103.4746980199,2016-10-21
768,136103.4746980199,2016-10-21
769,136103.4746980199,2016-10-24
770,134906.10820099464,2016-10-25
771,136363.49744896777,2016-10-26
772,136363.49744896777,2016-10-26
773,134963.76884934926,2016-10-27
774,136200.5561388303,2016-10-28
775,136200.5561388303,2016-10-28
776,136200.5561388303,2016-10-31
777,136200.5561388303,2016-11-01
778,134529.67514995084,2016-11-02
779,136287.44689989,2016-11-03
780,136287.44689989,2016-11-03
781,136287.44689989,2016-11-04
782,136287.44689989,2016-11-07
783,136287.44689989,2016-11-08
784,134881.9532651906,2016-11-09
785,134558.1554281845,2016-11-10
786,134558.1554281845,2016-11-11
787,134558.1554281845,2016-11-14
788,134558.1554281845,2016-11-15
789,134558.1554281845,2016-11-16
790,134558.1554281845,2016-11-17
791,136392.61666626928,2016-11-18
792,136392.61666626928,2016-11-18
793,134963.5526066087,2016-11-21
794,136474.3173293471,2016-11-22
795,136474.3173293471,2016-11-22
796,136474.3173293471,2016-11-23
797,135234.22401841846,2016-11-25
798,137037.99872957615,2016-11-28
799,137037.99872957615,2016-11-28
800,137037.99872957615,2016-11-29
801,137037.99872957615,2016-11-30
802,137037.99872957615,2016-12-01
803,137037.99872957615,2016-12-02
804,135526.22335392996,2016-12-05
805,136892.82086410472,2016-12-06
806,136892.82086410472,2016-12-06
807,136892.82086410472,2016-12-07
808,136892.82086410472,2016-12-08
809,136892.82086410472,2016-12-09
810,136892.82086410472,2016-12-12
811,136892.82086410472,2016-12-13
812,136892.82086410472,2016-12-14
813,136892.82086410472,2016-12-15
814,136892.82086410472,2016-12-16
815,136892.82086410472,2016-12-19
816,136892.82086410472,2016-12-20
817,136892.82086410472,2016-12-21
818,136892.82086410472,2016-12-22
819,136892.82086410472,2016-12-23
820,136892.82086410472,2016-12-27
821,136892.82086410472,2016-12-28
822,136892.82086410472,2016-12-29
823,136892.82086410472,2016-12-30
824,136892.82086410472,2017-01-03
825,136892.82086410472,2017-01-04
826,136892.82086410472,2017-01-05
827,136892.82086410472,2017-01-06
828,136892.82086410472,2017-01-09
829,136892.82086410472,2017-01-10
830,136892.82086410472,2017-01-11
831,136892.82086410472,2017-01-12
832,136892.82086410472,2017-01-13
833,136892.82086410472,2017-01-17
834,136892.82086410472,2017-01-18
835,136892.82086410472,2017-01-19
836,136892.82086410472,2017-01-20
837,136892.82086410472,2017-01-23
