,cash,dates
1109,89800.50209287934,2017-12-12
1110,89800.50209287934,2017-12-13
1111,89800.50209287934,2017-12-14
1112,89800.50209287934,2017-12-15
1113,89800.50209287934,2017-12-18
1114,89800.50209287934,2017-12-19
1115,89879.88444362406,2017-12-20
1116,89657.97256249018,2017-12-21
1117,89657.97256249018,2017-12-22
1118,89657.97256249018,2017-12-26
1119,89657.97256249018,2017-12-27
1120,89657.97256249018,2017-12-28
1121,89657.97256249018,2017-12-29
1122,89657.97256249018,2018-01-02
1123,89227.08611954613,2018-01-03
1124,89706.89807037197,2018-01-04
1125,89706.89807037197,2018-01-05
1126,89706.89807037197,2018-01-08
1127,89706.89807037197,2018-01-09
1128,89706.89807037197,2018-01-10
1129,89802.15681488445,2018-01-11
1130,103385.02806488445,2018-01-12
1131,103385.02806488445,2018-01-12
1132,103385.02806488445,2018-01-16
1133,103385.02806488445,2018-01-17
1134,103385.02806488445,2018-01-18
1135,103385.02806488445,2018-01-19
1136,103385.02806488445,2018-01-22
1137,103385.02806488445,2018-01-23
1138,103385.02806488445,2018-01-24
1139,103385.02806488445,2018-01-25
1140,103385.02806488445,2018-01-26
1141,103385.02806488445,2018-01-29
1142,102026.21006456918,2018-01-30
1143,102026.21006456918,2018-01-31
1144,102026.21006456918,2018-02-01
1145,103660.26631834806,2018-02-02
1146,103660.26631834806,2018-02-02
1147,103660.26631834806,2018-02-05
1148,103660.26631834806,2018-02-06
1149,103660.26631834806,2018-02-07
1150,103660.26631834806,2018-02-08
1151,103660.26631834806,2018-02-09
1152,103660.26631834806,2018-02-12
1153,103660.26631834806,2018-02-13
1154,103660.26631834806,2018-02-14
1155,103660.26631834806,2018-02-15
1156,101626.62628276955,2018-02-16
1157,103761.58566461051,2018-02-20
1158,103761.58566461051,2018-02-20
1159,103761.58566461051,2018-02-21
1160,103761.58566461051,2018-02-22
1161,102390.54152228106,2018-02-23
1162,115941.09152228106,2018-02-26
1163,115941.09152228106,2018-02-26
1164,113884.69724671409,2018-02-27
1165,113884.69724671409,2018-02-28
1166,115969.31916514138,2018-03-01
1167,115969.31916514138,2018-03-01
1168,115969.31916514138,2018-03-02
1169,115969.31916514138,2018-03-05
1170,115969.31916514138,2018-03-06
1171,115969.31916514138,2018-03-07
1172,115003.16972726793,2018-03-08
1173,115808.51490117543,2018-03-09
1174,115808.51490117543,2018-03-09
1175,115808.51490117543,2018-03-12
1176,115808.51490117543,2018-03-13
1177,115808.51490117543,2018-03-14
1178,115808.51490117543,2018-03-15
1179,115808.51490117543,2018-03-16
1180,115808.51490117543,2018-03-19
1181,115808.51490117543,2018-03-20
1182,114422.32745074428,2018-03-21
1183,116707.25939476036,2018-03-22
1184,116707.25939476036,2018-03-22
1185,115042.08500699894,2018-03-23
1186,115042.08500699894,2018-03-26
1187,117010.74727345405,2018-03-27
1188,117010.74727345405,2018-03-27
1189,117010.74727345405,2018-03-28
1190,117010.74727345405,2018-03-29
1191,117010.74727345405,2018-04-02
1192,117010.74727345405,2018-04-03
1193,117010.74727345405,2018-04-04
1194,117010.74727345405,2018-04-05
1195,115252.8375687243,2018-04-06
1196,115252.8375687243,2018-04-09
1197,115252.8375687243,2018-04-10
1198,115252.8375687243,2018-04-11
1199,115252.8375687243,2018-04-12
1200,115252.8375687243,2018-04-13
1201,115252.8375687243,2018-04-16
1202,114362.86003126675,2018-04-17
1203,115154.2205609842,2018-04-18
1204,115039.50539931994,2018-04-19
1205,115039.50539931994,2018-04-20
1206,114463.96519356142,2018-04-23
1207,115333.66105841393,2018-04-24
1208,116703.53450094476,2018-04-25
1209,116703.53450094476,2018-04-25
1210,115600.08659728499,2018-04-26
1211,114947.15234316947,2018-04-27
1212,115910.58440117014,2018-04-30
1213,115910.58440117014,2018-05-01
1214,117386.01549048004,2018-05-02
1215,117386.01549048004,2018-05-02
1216,115383.2481508684,2018-05-03
1217,128367.61565086839,2018-05-04
1218,128367.61565086839,2018-05-04
1219,127008.98514474514,2018-05-07
1220,127008.98514474514,2018-05-08
