,cash,dates
118,10954.364046566463,2014-07-17
119,10954.364046566463,2014-07-18
120,10954.364046566463,2014-07-21
121,10954.364046566463,2014-07-22
122,10009.238270942924,2014-07-23
123,11518.42373243857,2014-07-24
124,11518.42373243857,2014-07-24
125,11518.42373243857,2014-07-25
126,11518.42373243857,2014-07-28
127,11518.42373243857,2014-07-29
128,11518.42373243857,2014-07-30
129,11518.42373243857,2014-07-31
130,11518.42373243857,2014-08-01
131,10052.095833054502,2014-08-04
132,10052.095833054502,2014-08-05
133,11727.258285356467,2014-08-06
134,11727.258285356467,2014-08-06
135,11727.258285356467,2014-08-07
136,11727.258285356467,2014-08-08
137,11727.258285356467,2014-08-11
138,11727.258285356467,2014-08-12
139,11727.258285356467,2014-08-13
140,11727.258285356467,2014-08-14
141,11727.258285356467,2014-08-15
142,10486.81080899225,2014-08-18
143,11867.116456355005,2014-08-19
144,11867.116456355005,2014-08-19
145,11867.116456355005,2014-08-20
146,11867.116456355005,2014-08-21
147,11867.116456355005,2014-08-22
148,11867.116456355005,2014-08-25
149,10494.332478271268,2014-08-26
150,10494.332478271268,2014-08-27
151,11914.424012212166,2014-08-28
152,11914.424012212166,2014-08-28
153,11914.424012212166,2014-08-29
154,10551.49003275619,2014-09-02
155,12052.27095998594,2014-09-03
156,12052.27095998594,2014-09-03
157,12052.27095998594,2014-09-04
158,12052.27095998594,2014-09-05
159,12052.27095998594,2014-09-08
160,10750.481570472726,2014-09-09
161,12302.307536025866,2014-09-10
162,12302.307536025866,2014-09-10
163,12302.307536025866,2014-09-11
164,12302.307536025866,2014-09-12
165,12302.307536025866,2014-09-15
166,12302.307536025866,2014-09-16
167,12302.307536025866,2014-09-17
168,10722.610595387749,2014-09-18
169,10722.610595387749,2014-09-19
170,12398.77370816659,2014-09-22
171,12398.77370816659,2014-09-22
172,12398.77370816659,2014-09-23
173,12398.77370816659,2014-09-24
174,12398.77370816659,2014-09-25
175,12398.77370816659,2014-09-26
176,12398.77370816659,2014-09-29
177,11399.951680286611,2014-09-30
178,11075.312560205628,2014-10-01
179,11661.315821429154,2014-10-02
180,11220.64025124215,2014-10-03
181,12944.847652256287,2014-10-06
182,12944.847652256287,2014-10-06
183,12944.847652256287,2014-10-07
184,11947.396755096417,2014-10-08
185,13080.500940530397,2014-10-09
186,13080.500940530397,2014-10-09
187,13080.500940530397,2014-10-10
188,13080.500940530397,2014-10-13
189,13080.500940530397,2014-10-14
190,13080.500940530397,2014-10-15
191,13080.500940530397,2014-10-16
192,13080.500940530397,2014-10-17
193,13080.500940530397,2014-10-20
194,13080.500940530397,2014-10-21
195,13080.500940530397,2014-10-22
196,13080.500940530397,2014-10-23
197,13080.500940530397,2014-10-24
198,13080.500940530397,2014-10-27
199,13080.500940530397,2014-10-28
200,13080.500940530397,2014-10-29
201,13080.500940530397,2014-10-30
202,13080.500940530397,2014-10-31
203,13080.500940530397,2014-11-03
204,11455.785180035777,2014-11-04
205,13218.804861970353,2014-11-05
206,13218.804861970353,2014-11-05
207,13218.804861970353,2014-11-06
208,13218.804861970353,2014-11-07
209,13218.804861970353,2014-11-10
210,13218.804861970353,2014-11-11
211,11684.351353585265,2014-11-12
212,13373.127558126382,2014-11-13
213,13373.127558126382,2014-11-13
214,13373.127558126382,2014-11-14
215,13373.127558126382,2014-11-17
216,13373.127558126382,2014-11-18
217,13373.127558126382,2014-11-19
218,13373.127558126382,2014-11-20
219,13373.127558126382,2014-11-21
220,11894.102099061094,2014-11-24
221,13969.523102747724,2014-11-25
222,13969.523102747724,2014-11-25
223,13969.523102747724,2014-11-26
224,13969.523102747724,2014-11-28
225,13969.523102747724,2014-12-01
226,13969.523102747724,2014-12-02
227,13969.523102747724,2014-12-03
228,13969.523102747724,2014-12-04
229,12147.881312797477,2014-12-05
230,12147.881312797477,2014-12-08
231,12147.881312797477,2014-12-09
232,14191.209863372416,2014-12-10
233,14191.209863372416,2014-12-10
234,14191.209863372416,2014-12-11
235,14191.209863372416,2014-12-12
236,14191.209863372416,2014-12-15
237,14191.209863372416,2014-12-16
238,14191.209863372416,2014-12-17
239,12611.996210707639,2014-12-18
240,12582.594438823173,2014-12-19
241,12758.10663369166,2014-12-22
242,12758.10663369166,2014-12-23
243,12710.466579829543,2014-12-24
244,14114.73515197136,2014-12-26
245,14114.73515197136,2014-12-26
246,14114.73515197136,2014-12-29
247,14114.73515197136,2014-12-30
248,14114.73515197136,2014-12-31
249,14114.73515197136,2015-01-02
250,14114.73515197136,2015-01-05
251,14114.73515197136,2015-01-06
252,14114.73515197136,2015-01-07
253,14114.73515197136,2015-01-08
254,14114.73515197136,2015-01-09
255,14114.73515197136,2015-01-12
256,14114.73515197136,2015-01-13
257,14114.73515197136,2015-01-14
258,14114.73515197136,2015-01-15
259,14114.73515197136,2015-01-16
260,14114.73515197136,2015-01-20
261,14114.73515197136,2015-01-21
262,14114.73515197136,2015-01-22
263,14114.73515197136,2015-01-23
264,14114.73515197136,2015-01-26
265,14114.73515197136,2015-01-27
266,14114.73515197136,2015-01-28
267,14114.73515197136,2015-01-29
268,14114.73515197136,2015-01-30
269,14114.73515197136,2015-02-02
270,14114.73515197136,2015-02-03
271,14114.73515197136,2015-02-04
272,14114.73515197136,2015-02-05
273,14114.73515197136,2015-02-06
274,14114.73515197136,2015-02-09
275,14114.73515197136,2015-02-10
276,14114.73515197136,2015-02-11
277,14114.73515197136,2015-02-12
278,14114.73515197136,2015-02-13
279,14114.73515197136,2015-02-17
280,14114.73515197136,2015-02-18
281,14114.73515197136,2015-02-19
282,14114.73515197136,2015-02-20
283,14114.73515197136,2015-02-23
284,14114.73515197136,2015-02-24
285,14114.73515197136,2015-02-25
286,12273.875237710577,2015-02-26
287,13991.235312270852,2015-02-27
288,13991.235312270852,2015-02-27
289,13991.235312270852,2015-03-02
290,13991.235312270852,2015-03-03
291,13991.235312270852,2015-03-04
292,13991.235312270852,2015-03-05
293,13991.235312270852,2015-03-06
294,13991.235312270852,2015-03-09
295,13991.235312270852,2015-03-10
296,13991.235312270852,2015-03-11
297,13991.235312270852,2015-03-12
298,13991.235312270852,2015-03-13
299,13991.235312270852,2015-03-16
300,13991.235312270852,2015-03-17
301,13991.235312270852,2015-03-18
302,13991.235312270852,2015-03-19
303,13991.235312270852,2015-03-20
304,13991.235312270852,2015-03-23
305,13991.235312270852,2015-03-24
306,13991.235312270852,2015-03-25
307,13991.235312270852,2015-03-26
308,13991.235312270852,2015-03-27
309,13991.235312270852,2015-03-30
310,13991.235312270852,2015-03-31
311,13991.235312270852,2015-04-01
312,12324.891517982816,2015-04-02
313,14186.463853493255,2015-04-06
314,14186.463853493255,2015-04-06
315,14186.463853493255,2015-04-07
316,14186.463853493255,2015-04-08
317,14186.463853493255,2015-04-09
318,14186.463853493255,2015-04-10
319,14186.463853493255,2015-04-13
320,14186.463853493255,2015-04-14
321,14186.463853493255,2015-04-15
322,14186.463853493255,2015-04-16
323,14186.463853493255,2015-04-17
324,14186.463853493255,2015-04-20
325,14186.463853493255,2015-04-21
326,14186.463853493255,2015-04-22
327,14186.463853493255,2015-04-23
328,14186.463853493255,2015-04-24
329,14186.463853493255,2015-04-27
330,14186.463853493255,2015-04-28
331,14186.463853493255,2015-04-29
332,14186.463853493255,2015-04-30
333,14186.463853493255,2015-05-01
334,14186.463853493255,2015-05-04
335,14186.463853493255,2015-05-05
336,14186.463853493255,2015-05-06
337,14186.463853493255,2015-05-07
338,14186.463853493255,2015-05-08
339,14186.463853493255,2015-05-11
340,14186.463853493255,2015-05-12
341,14186.463853493255,2015-05-13
342,14186.463853493255,2015-05-14
343,14186.463853493255,2015-05-15
344,14186.463853493255,2015-05-18
345,14186.463853493255,2015-05-19
346,14186.463853493255,2015-05-20
347,14186.463853493255,2015-05-21
348,14186.463853493255,2015-05-22
349,14186.463853493255,2015-05-26
350,14186.463853493255,2015-05-27
351,14186.463853493255,2015-05-28
352,14186.463853493255,2015-05-29
353,14186.463853493255,2015-06-01
354,14186.463853493255,2015-06-02
355,14186.463853493255,2015-06-03
356,14186.463853493255,2015-06-04
357,14186.463853493255,2015-06-05
358,14186.463853493255,2015-06-08
359,12331.149404680566,2015-06-09
360,14032.790961753317,2015-06-10
361,14032.790961753317,2015-06-10
362,14032.790961753317,2015-06-11
363,14032.790961753317,2015-06-12
364,14032.790961753317,2015-06-15
365,14032.790961753317,2015-06-16
366,14032.790961753317,2015-06-17
367,14032.790961753317,2015-06-18
368,14032.790961753317,2015-06-19
369,14032.790961753317,2015-06-22
370,14032.790961753317,2015-06-23
371,14032.790961753317,2015-06-24
372,14032.790961753317,2015-06-25
373,14032.790961753317,2015-06-26
374,14032.790961753317,2015-06-29
375,14032.790961753317,2015-06-30
376,14032.790961753317,2015-07-01
377,12136.103186010052,2015-07-02
378,13786.869411343001,2015-07-06
379,13786.869411343001,2015-07-06
380,11975.211147548174,2015-07-07
381,13937.064661765802,2015-07-08
382,13937.064661765802,2015-07-08
383,13937.064661765802,2015-07-09
384,13937.064661765802,2015-07-10
385,13937.064661765802,2015-07-13
386,13937.064661765802,2015-07-14
387,13937.064661765802,2015-07-15
388,13937.064661765802,2015-07-16
389,13937.064661765802,2015-07-17
390,13937.064661765802,2015-07-20
391,13937.064661765802,2015-07-21
392,13937.064661765802,2015-07-22
393,13937.064661765802,2015-07-23
394,13937.064661765802,2015-07-24
395,13937.064661765802,2015-07-27
396,13937.064661765802,2015-07-28
397,13937.064661765802,2015-07-29
398,13937.064661765802,2015-07-30
399,13937.064661765802,2015-07-31
400,13937.064661765802,2015-08-03
401,12230.091967086857,2015-08-04
402,14301.827068905572,2015-08-05
403,14301.827068905572,2015-08-05
404,14301.827068905572,2015-08-06
405,14301.827068905572,2015-08-07
406,14301.827068905572,2015-08-10
407,14301.827068905572,2015-08-11
408,14301.827068905572,2015-08-12
409,14301.827068905572,2015-08-13
410,14301.827068905572,2015-08-14
411,14301.827068905572,2015-08-17
412,14301.827068905572,2015-08-18
413,14301.827068905572,2015-08-19
414,14301.827068905572,2015-08-20
415,14301.827068905572,2015-08-21
416,14301.827068905572,2015-08-24
417,14301.827068905572,2015-08-25
418,14301.827068905572,2015-08-26
419,14301.827068905572,2015-08-27
420,14301.827068905572,2015-08-28
421,14301.827068905572,2015-08-31
422,14301.827068905572,2015-09-01
423,14301.827068905572,2015-09-02
424,14301.827068905572,2015-09-03
425,14301.827068905572,2015-09-04
426,14301.827068905572,2015-09-08
427,14301.827068905572,2015-09-09
428,14301.827068905572,2015-09-10
429,14301.827068905572,2015-09-11
430,14301.827068905572,2015-09-14
431,14301.827068905572,2015-09-15
432,14301.827068905572,2015-09-16
433,14301.827068905572,2015-09-17
434,14301.827068905572,2015-09-18
435,14301.827068905572,2015-09-21
436,12328.058458555204,2015-09-22
437,14678.728231263387,2015-09-23
438,14678.728231263387,2015-09-23
439,14678.728231263387,2015-09-24
440,14678.728231263387,2015-09-25
441,14678.728231263387,2015-09-28
442,12785.780046420481,2015-09-29
443,15132.660000434289,2015-09-30
444,15132.660000434289,2015-09-30
445,15132.660000434289,2015-10-01
446,13426.635209495449,2015-10-02
447,15240.42889738328,2015-10-05
448,15240.42889738328,2015-10-05
449,15240.42889738328,2015-10-06
450,15240.42889738328,2015-10-07
451,15240.42889738328,2015-10-08
452,15240.42889738328,2015-10-09
453,15240.42889738328,2015-10-12
454,15240.42889738328,2015-10-13
455,15240.42889738328,2015-10-14
456,15240.42889738328,2015-10-15
457,15240.42889738328,2015-10-16
458,15240.42889738328,2015-10-19
459,15240.42889738328,2015-10-20
460,15240.42889738328,2015-10-21
461,15240.42889738328,2015-10-22
462,15240.42889738328,2015-10-23
463,15240.42889738328,2015-10-26
464,15240.42889738328,2015-10-27
465,15240.42889738328,2015-10-28
466,15240.42889738328,2015-10-29
467,15240.42889738328,2015-10-30
468,15240.42889738328,2015-11-02
469,15240.42889738328,2015-11-03
470,15240.42889738328,2015-11-04
471,15240.42889738328,2015-11-05
472,15240.42889738328,2015-11-06
473,15240.42889738328,2015-11-09
474,15240.42889738328,2015-11-10
475,15240.42889738328,2015-11-11
476,15240.42889738328,2015-11-12
477,15240.42889738328,2015-11-13
478,15240.42889738328,2015-11-16
479,15240.42889738328,2015-11-17
480,15240.42889738328,2015-11-18
481,15240.42889738328,2015-11-19
482,15240.42889738328,2015-11-20
483,15240.42889738328,2015-11-23
484,15240.42889738328,2015-11-24
485,13640.538818378183,2015-11-25
486,14450.97993431215,2015-11-27
487,16756.892004516714,2015-11-30
488,16756.892004516714,2015-11-30
489,16756.892004516714,2015-12-01
490,16756.892004516714,2015-12-02
491,16756.892004516714,2015-12-03
492,16756.892004516714,2015-12-04
493,16756.892004516714,2015-12-07
494,16756.892004516714,2015-12-08
495,16756.892004516714,2015-12-09
496,15602.949167291566,2015-12-10
497,16921.20000774373,2015-12-11
498,16921.20000774373,2015-12-11
499,16921.20000774373,2015-12-14
500,16921.20000774373,2015-12-15
501,15379.303071221226,2015-12-16
502,17326.782038561963,2015-12-17
503,17326.782038561963,2015-12-17
504,17326.782038561963,2015-12-18
505,17326.782038561963,2015-12-21
506,17326.782038561963,2015-12-22
507,15855.809757412522,2015-12-23
508,17024.246408298415,2015-12-24
509,17024.246408298415,2015-12-24
510,17024.246408298415,2015-12-28
511,17024.246408298415,2015-12-29
512,17024.246408298415,2015-12-30
513,17024.246408298415,2015-12-31
514,17024.246408298415,2016-01-04
515,17024.246408298415,2016-01-05
516,17024.246408298415,2016-01-06
517,17024.246408298415,2016-01-07
518,17024.246408298415,2016-01-08
519,17024.246408298415,2016-01-11
520,17024.246408298415,2016-01-12
521,17024.246408298415,2016-01-13
522,17024.246408298415,2016-01-14
523,17024.246408298415,2016-01-15
524,17024.246408298415,2016-01-19
525,17024.246408298415,2016-01-20
