,cash,dates
1443,60841.265545439695,2019-08-23
1444,60841.265545439695,2019-08-26
1445,61401.6280565946,2019-08-27
1446,61401.6280565946,2019-08-28
1447,61401.6280565946,2019-08-29
1448,61401.6280565946,2019-08-30
1449,61401.6280565946,2019-09-03
1450,61401.6280565946,2019-09-04
1451,61401.6280565946,2019-09-05
1452,61401.6280565946,2019-09-06
1453,61401.6280565946,2019-09-09
1454,61306.619831429576,2019-09-10
1455,61306.619831429576,2019-09-11
1456,61306.619831429576,2019-09-12
1457,61306.619831429576,2019-09-13
1458,61306.619831429576,2019-09-16
1459,61306.619831429576,2019-09-17
1460,61306.619831429576,2019-09-18
1461,61306.619831429576,2019-09-19
1462,61306.619831429576,2019-09-20
1463,61306.619831429576,2019-09-23
1464,61104.115081817974,2019-09-24
1465,61104.115081817974,2019-09-25
1466,61104.115081817974,2019-09-26
1467,61104.115081817974,2019-09-27
1468,61104.115081817974,2019-09-30
1469,61104.115081817974,2019-10-01
1470,61104.115081817974,2019-10-02
1471,61104.115081817974,2019-10-03
1472,61104.115081817974,2019-10-04
1473,61104.115081817974,2019-10-07
1474,60671.18454099447,2019-10-08
1475,60671.18454099447,2019-10-09
1476,60671.18454099447,2019-10-10
1477,60671.18454099447,2019-10-11
1478,60671.18454099447,2019-10-14
1479,60671.18454099447,2019-10-15
1480,60671.18454099447,2019-10-16
1481,60671.18454099447,2019-10-17
1482,60671.18454099447,2019-10-18
1483,60671.18454099447,2019-10-21
1484,60761.03894413905,2019-10-22
1485,60761.03894413905,2019-10-23
1486,60761.03894413905,2019-10-24
1487,60761.03894413905,2019-10-25
1488,60761.03894413905,2019-10-28
1489,60761.03894413905,2019-10-29
1490,60761.03894413905,2019-10-30
1491,60761.03894413905,2019-10-31
1492,60761.03894413905,2019-11-01
1493,60761.03894413905,2019-11-04
1494,61185.711932797036,2019-11-05
1495,61185.711932797036,2019-11-06
1496,61185.711932797036,2019-11-07
1497,61185.711932797036,2019-11-08
1498,61185.711932797036,2019-11-11
1499,61185.711932797036,2019-11-12
1500,61185.711932797036,2019-11-13
1501,61185.711932797036,2019-11-14
1502,61185.711932797036,2019-11-15
1503,61185.711932797036,2019-11-18
1504,62018.88393257075,2019-11-19
1505,62018.88393257075,2019-11-20
1506,62018.88393257075,2019-11-21
1507,62018.88393257075,2019-11-22
1508,62018.88393257075,2019-11-25
1509,62018.88393257075,2019-11-26
1510,62018.88393257075,2019-11-27
1511,62018.88393257075,2019-11-29
1512,62018.88393257075,2019-12-02
1513,61820.351326120755,2019-12-03
1514,61820.351326120755,2019-12-04
1515,61820.351326120755,2019-12-05
1516,61820.351326120755,2019-12-06
1517,61820.351326120755,2019-12-09
1518,61820.351326120755,2019-12-10
1519,61820.351326120755,2019-12-11
1520,61820.351326120755,2019-12-12
1521,61820.351326120755,2019-12-13
1522,61820.351326120755,2019-12-16
1523,60902.60278616918,2019-12-17
1524,60902.60278616918,2019-12-18
1525,60902.60278616918,2019-12-19
1526,60902.60278616918,2019-12-20
1527,60902.60278616918,2019-12-23
