,cash,dates
138,11061.607062208324,2014-08-19
139,11061.607062208324,2014-08-20
140,11061.607062208324,2014-08-21
141,11061.607062208324,2014-08-22
142,11061.607062208324,2014-08-25
143,11061.607062208324,2014-08-26
144,11061.607062208324,2014-08-27
145,11061.607062208324,2014-08-28
146,11061.607062208324,2014-08-29
147,11061.607062208324,2014-09-02
148,11061.607062208324,2014-09-03
149,11061.607062208324,2014-09-04
150,11061.607062208324,2014-09-05
151,11061.607062208324,2014-09-08
152,11061.607062208324,2014-09-09
153,11061.607062208324,2014-09-10
154,11061.607062208324,2014-09-11
155,11061.607062208324,2014-09-12
156,10230.910332528361,2014-09-15
157,10230.910332528361,2014-09-16
158,10230.910332528361,2014-09-17
159,20036.290332528362,2014-09-18
160,20036.290332528362,2014-09-18
161,20036.290332528362,2014-09-19
162,20036.290332528362,2014-09-22
163,20036.290332528362,2014-09-23
164,20036.290332528362,2014-09-24
165,20036.290332528362,2014-09-25
166,20036.290332528362,2014-09-26
167,20036.290332528362,2014-09-29
168,20036.290332528362,2014-09-30
169,20036.290332528362,2014-10-01
170,20036.290332528362,2014-10-02
171,20036.290332528362,2014-10-03
172,18498.11579135173,2014-10-06
173,20152.514579776205,2014-10-07
174,20152.514579776205,2014-10-07
175,20152.514579776205,2014-10-08
176,20152.514579776205,2014-10-09
177,20152.514579776205,2014-10-10
178,20152.514579776205,2014-10-13
179,20152.514579776205,2014-10-14
180,20152.514579776205,2014-10-15
181,18526.584883653613,2014-10-16
182,20204.836413350688,2014-10-17
183,20204.836413350688,2014-10-17
184,20204.836413350688,2014-10-20
185,19333.550357457072,2014-10-21
186,19333.550357457072,2014-10-22
187,20748.695718330953,2014-10-23
188,20748.695718330953,2014-10-23
189,20748.695718330953,2014-10-24
190,20748.695718330953,2014-10-27
191,20748.695718330953,2014-10-28
192,20748.695718330953,2014-10-29
193,20748.695718330953,2014-10-30
194,19575.348641077133,2014-10-31
195,20934.259427084362,2014-11-03
196,20934.259427084362,2014-11-03
197,20934.259427084362,2014-11-04
198,20934.259427084362,2014-11-05
199,20934.259427084362,2014-11-06
200,20934.259427084362,2014-11-07
201,20934.259427084362,2014-11-10
202,20934.259427084362,2014-11-11
203,20934.259427084362,2014-11-12
204,20934.259427084362,2014-11-13
205,20934.259427084362,2014-11-14
206,20934.259427084362,2014-11-17
207,20934.259427084362,2014-11-18
208,20934.259427084362,2014-11-19
209,20034.79003281402,2014-11-20
210,21618.405837067334,2014-11-21
211,21618.405837067334,2014-11-21
212,21618.405837067334,2014-11-24
213,21618.405837067334,2014-11-25
214,21618.405837067334,2014-11-26
215,21618.405837067334,2014-11-28
216,21618.405837067334,2014-12-01
217,21618.405837067334,2014-12-02
218,21618.405837067334,2014-12-03
219,21618.405837067334,2014-12-04
220,21618.405837067334,2014-12-05
221,21618.405837067334,2014-12-08
222,21618.405837067334,2014-12-09
223,21618.405837067334,2014-12-10
224,21618.405837067334,2014-12-11
225,21618.405837067334,2014-12-12
226,20688.496518889908,2014-12-15
227,21739.184864409846,2014-12-16
228,21739.184864409846,2014-12-16
229,21739.184864409846,2014-12-17
230,21739.184864409846,2014-12-18
231,21739.184864409846,2014-12-19
232,21739.184864409846,2014-12-22
233,21739.184864409846,2014-12-23
234,21739.184864409846,2014-12-24
235,21739.184864409846,2014-12-26
236,21739.184864409846,2014-12-29
237,21739.184864409846,2014-12-30
238,21739.184864409846,2014-12-31
239,21739.184864409846,2015-01-02
240,21739.184864409846,2015-01-05
241,20434.039303425838,2015-01-06
242,20151.220590894653,2015-01-07
243,20151.220590894653,2015-01-08
244,20151.220590894653,2015-01-09
245,20151.220590894653,2015-01-12
246,21665.80467118792,2015-01-13
247,21665.80467118792,2015-01-13
248,21665.80467118792,2015-01-14
249,21665.80467118792,2015-01-15
250,20219.68370099435,2015-01-16
251,20503.617924436705,2015-01-20
252,20399.743512697354,2015-01-21
253,21407.294198279236,2015-01-22
254,21407.294198279236,2015-01-22
255,21407.294198279236,2015-01-23
256,20043.975539208444,2015-01-26
257,21544.68092745903,2015-01-27
258,21544.68092745903,2015-01-27
259,21544.68092745903,2015-01-28
260,21544.68092745903,2015-01-29
261,21544.68092745903,2015-01-30
262,19967.727440639246,2015-02-02
263,29961.623690639248,2015-02-03
264,29961.623690639248,2015-02-03
265,29961.623690639248,2015-02-04
266,29961.623690639248,2015-02-05
267,29961.623690639248,2015-02-06
268,28507.584495018626,2015-02-09
269,30048.083134330554,2015-02-10
270,30048.083134330554,2015-02-10
271,28806.281943082893,2015-02-11
272,29885.25286529132,2015-02-12
273,29885.25286529132,2015-02-12
274,28483.065703218024,2015-02-13
275,28483.065703218024,2015-02-17
276,29757.501525035364,2015-02-18
277,29757.501525035364,2015-02-18
278,29757.501525035364,2015-02-19
279,29757.501525035364,2015-02-20
280,29757.501525035364,2015-02-23
281,29757.501525035364,2015-02-24
282,29757.501525035364,2015-02-25
283,29757.501525035364,2015-02-26
284,29757.501525035364,2015-02-27
285,29757.501525035364,2015-03-02
286,29757.501525035364,2015-03-03
287,29757.501525035364,2015-03-04
288,29757.501525035364,2015-03-05
289,29757.501525035364,2015-03-06
290,29757.501525035364,2015-03-09
291,28184.885991661144,2015-03-10
292,28184.885991661144,2015-03-11
293,28184.885991661144,2015-03-12
294,29672.212630594015,2015-03-13
295,29672.212630594015,2015-03-13
296,28288.20770445712,2015-03-16
297,29647.974346383184,2015-03-17
298,29647.974346383184,2015-03-17
299,29647.974346383184,2015-03-18
300,28124.858328995382,2015-03-19
301,29669.947797717545,2015-03-20
302,29669.947797717545,2015-03-20
303,29669.947797717545,2015-03-23
304,29669.947797717545,2015-03-24
305,29669.947797717545,2015-03-25
306,29669.947797717545,2015-03-26
307,29669.947797717545,2015-03-27
308,29669.947797717545,2015-03-30
