,cash,dates
1538,629032.4530890867,2019-05-21
1539,629032.4530890867,2019-05-22
1540,629032.4530890867,2019-05-23
1541,629032.4530890867,2019-05-24
1542,629032.4530890867,2019-05-28
1543,629032.4530890867,2019-05-29
1544,629032.4530890867,2019-05-30
1545,629032.4530890867,2019-05-31
1546,629032.4530890867,2019-06-03
1547,629032.4530890867,2019-06-04
1548,629032.4530890867,2019-06-05
1549,629032.4530890867,2019-06-06
1550,629032.4530890867,2019-06-07
1551,629032.4530890867,2019-06-10
1552,626999.5379851374,2019-06-11
1553,629136.9723110494,2019-06-12
1554,629136.9723110494,2019-06-12
1555,629136.9723110494,2019-06-13
1556,629136.9723110494,2019-06-14
1557,627306.7354648124,2019-06-17
1558,629352.1183773621,2019-06-18
1559,629352.1183773621,2019-06-18
1560,626895.6334036594,2019-06-19
1561,627571.0454259898,2019-06-20
1562,627571.0454259898,2019-06-21
1563,627571.0454259898,2019-06-24
1564,627571.0454259898,2019-06-25
1565,627571.0454259898,2019-06-26
1566,627571.0454259898,2019-06-27
1567,627571.0454259898,2019-06-28
1568,627571.0454259898,2019-07-01
1569,627571.0454259898,2019-07-02
1570,627571.0454259898,2019-07-03
1571,627571.0454259898,2019-07-05
1572,627571.0454259898,2019-07-08
1573,627571.0454259898,2019-07-09
1574,627571.0454259898,2019-07-10
1575,627571.0454259898,2019-07-11
1576,626455.0696046717,2019-07-12
1577,629339.469194095,2019-07-15
1578,629339.469194095,2019-07-15
1579,629339.469194095,2019-07-16
1580,629339.469194095,2019-07-17
1581,627719.1283516465,2019-07-18
1582,629446.8307311677,2019-07-19
1583,629446.8307311677,2019-07-19
1584,627203.8176564288,2019-07-22
1585,641855.4839064288,2019-07-23
1586,641855.4839064288,2019-07-23
1587,641855.4839064288,2019-07-24
1588,641855.4839064288,2019-07-25
1589,639682.8054498907,2019-07-26
1590,639661.2535404736,2019-07-29
1591,639319.8160420177,2019-07-30
1592,653849.0710420177,2019-07-31
1593,653849.0710420177,2019-07-31
1594,653849.0710420177,2019-08-01
1595,653849.0710420177,2019-08-02
1596,653849.0710420177,2019-08-05
1597,651348.2070615182,2019-08-06
1598,653943.7215679619,2019-08-07
1599,653943.7215679619,2019-08-07
1600,653943.7215679619,2019-08-08
1601,653943.7215679619,2019-08-09
1602,653943.7215679619,2019-08-12
1603,651802.275360964,2019-08-13
1604,653999.2661360608,2019-08-14
1605,653999.2661360608,2019-08-14
1606,653999.2661360608,2019-08-15
1607,653999.2661360608,2019-08-16
1608,651582.2553459198,2019-08-19
1609,651700.866053165,2019-08-20
1610,653828.5186930976,2019-08-21
1611,653828.5186930976,2019-08-21
1612,653828.5186930976,2019-08-22
1613,653828.5186930976,2019-08-23
1614,653828.5186930976,2019-08-26
1615,651282.2978313682,2019-08-27
1616,653883.2565624627,2019-08-28
1617,653883.2565624627,2019-08-28
1618,653883.2565624627,2019-08-29
1619,653883.2565624627,2019-08-30
1620,653883.2565624627,2019-09-03
1621,653883.2565624627,2019-09-04
1622,653883.2565624627,2019-09-05
1623,653883.2565624627,2019-09-06
