,dates,Price
304,2015-04-27,2107.91
305,2015-04-28,2113.31
306,2015-04-29,2106.91
307,2015-04-30,2083.38
308,2015-05-01,2106.11
309,2015-05-04,2115.91
310,2015-05-05,2091.79
311,2015-05-06,2074.92
312,2015-05-07,2086.5
313,2015-05-08,2116.2
314,2015-05-11,2107.69
315,2015-05-12,2100.54
316,2015-05-13,2098.35
317,2015-05-14,2119.08
318,2015-05-15,2121.3
319,2015-05-18,2130.16
320,2015-05-19,2126.36
321,2015-05-20,2126.68
322,2015-05-21,2133.13
323,2015-05-22,2128.73
324,2015-05-26,2104.35
325,2015-05-27,2124.76
326,2015-05-28,2120.75
327,2015-05-29,2111.54
328,2015-06-01,2112.29
329,2015-06-02,2108.87
330,2015-06-03,2115.09
331,2015-06-04,2094.51
332,2015-06-05,2092.22
333,2015-06-08,2082.68
334,2015-06-09,2079.85
335,2015-06-10,2107.02
336,2015-06-11,2109.48
337,2015-06-12,2094.97
338,2015-06-15,2086.3
339,2015-06-16,2097.21
340,2015-06-17,2101.12
341,2015-06-18,2122.3
342,2015-06-19,2112.41
343,2015-06-22,2123.18
344,2015-06-23,2124.72
345,2015-06-24,2111.33
346,2015-06-25,2104.09
347,2015-06-26,2101.6
348,2015-06-29,2057.64
349,2015-06-30,2066.24
350,2015-07-01,2075.04
351,2015-07-02,2077.22
352,2015-07-06,2066.3
353,2015-07-07,2078.8
354,2015-07-08,2049.38
355,2015-07-09,2056.24
356,2015-07-10,2078.76
357,2015-07-13,2099.98
358,2015-07-14,2109.55
359,2015-07-15,2107.12
360,2015-07-16,2123.95
361,2015-07-17,2126.78
362,2015-07-20,2127.46
363,2015-07-21,2120.77
364,2015-07-22,2113.11
365,2015-07-23,2100.41
366,2015-07-24,2080.97
367,2015-07-27,2064.96
368,2015-07-28,2093.27
369,2015-07-29,2109.06
370,2015-07-30,2109.86
371,2015-07-31,2102.64
372,2015-08-03,2094.75
373,2015-08-04,2092.07
374,2015-08-05,2100.32
375,2015-08-06,2084.98
376,2015-08-07,2077.41
377,2015-08-10,2102.6
378,2015-08-11,2085.7
379,2015-08-12,2086.36
380,2015-08-13,2084.92
381,2015-08-14,2091.23
382,2015-08-17,2101.93
383,2015-08-18,2096.68
384,2015-08-19,2085.71
385,2015-08-20,2040.19
386,2015-08-21,1977.49
387,2015-08-24,1911.17
388,2015-08-25,1885.65
389,2015-08-26,1941.76
390,2015-08-27,1979.19
391,2015-08-28,1983.48
392,2015-08-31,1976.87
393,2015-09-01,1916.59
394,2015-09-02,1942.69
395,2015-09-03,1951.95
396,2015-09-04,1927.72
397,2015-09-08,1967.98
398,2015-09-09,1940.22
399,2015-09-10,1949.62
400,2015-09-11,1956.28
401,2015-09-14,1950.6
402,2015-09-15,1978.62
403,2015-09-16,1995.38
404,2015-09-17,1990.66
405,2015-09-18,1958.4
406,2015-09-21,1964.14
407,2015-09-22,1940.89
408,2015-09-23,1939.98
409,2015-09-24,1932.15
410,2015-09-25,1932.22
411,2015-09-28,1886.34
412,2015-09-29,1884.26
413,2015-09-30,1918.75
414,2015-10-01,1921.42
415,2015-10-02,1948.51
416,2015-10-05,1987.89
417,2015-10-06,1981.01
418,2015-10-07,1991.76
419,2015-10-08,2012.74
420,2015-10-09,2014.54
421,2015-10-12,2016.16
422,2015-10-13,2003.02
423,2015-10-14,1992.73
424,2015-10-15,2023.25
425,2015-10-16,2031.6
426,2015-10-19,2031.38
427,2015-10-20,2030.57
428,2015-10-21,2019.02
429,2015-10-22,2050.29
430,2015-10-23,2075.91
431,2015-10-26,2071.16
432,2015-10-27,2064.45
433,2015-10-28,2086.86
434,2015-10-29,2089.99
435,2015-10-30,2084.58
436,2015-11-02,2103.46
437,2015-11-03,2109.98
438,2015-11-04,2099.77
439,2015-11-05,2101.33
440,2015-11-06,2097.14
441,2015-11-09,2081.77
442,2015-11-10,2079.11
443,2015-11-11,2076.11
444,2015-11-12,2046.73
445,2015-11-13,2024.03
446,2015-11-16,2050.16
447,2015-11-17,2052.12
448,2015-11-18,2083.58
449,2015-11-19,2082.09
450,2015-11-20,2088.62
451,2015-11-23,2086.74
452,2015-11-24,2088.4
453,2015-11-25,2088.87
454,2015-11-27,2090.11
455,2015-11-30,2083.22
456,2015-12-01,2101.19
457,2015-12-02,2078.03
458,2015-12-03,2051.53
459,2015-12-04,2089.81
