# lasso,enet,plsridge,plslasso,plsenet,pmlasso,pmenet,pmplsridge,pmplslasso,pmplsenet,msklasso,mskenet,mskplsridge,mskplslasso,mskplsenet,msknsridge,msknslasso,msknsenet,tsklasso,tskenet,tskplsridge,tskplslasso,tskplsenet,tsknsridge,tsknslasso,tsknsenet,ridge,mskridge,pmridge,tskridge
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,1.873454637010722885e-315,1.081039473645508733e-313,7.461384818216609564e-315,1.031026471170216713e-253,1.000000000000000000e+00,1.000000000000000000e+00,nan,nan,6.035248004947437170e-269,1.818016733888388011e-288,1.709268031538976396e-278,1.782892538656177482e-265,4.837275685838092126e-33,4.837275685838092126e-33,1.947119677970571108e-227,2.664835640416702933e-231,5.555124815477167202e-273,1.864935681646976633e-240
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.873454637010722885e-315,1.081039473645508733e-313,7.461384818216609564e-315,1.031026471170216713e-253,1.000000000000000000e+00,1.000000000000000000e+00,nan,nan,6.035248004947437170e-269,1.818016733888388011e-288,1.709268031538976396e-278,1.782892538656177482e-265,4.837275685838092126e-33,4.837275685838092126e-33,1.947119677970571108e-227,2.664835640416702933e-231,5.555124815477167202e-273,1.864935681646976633e-240
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.189025977756367653e-09,1.884122624742212226e-12,5.038759649170268084e-30,2.586143956850407433e-01,3.671558597420033210e-01,8.934218918450713698e-01,8.934218918450713698e-01,3.330123598574009335e-34,2.416539749630747325e-46,1.432503749191033446e-38,4.399549586458576237e-33,8.651297223465360675e-01,8.651297223465360675e-01,4.745281954724823433e-26,5.613325352009730723e-26,1.382945922125863371e-37,5.163679606908963711e-27
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.521250925490618560e-207,2.869641086303550110e-34,4.085313846193768250e-01,3.496186763037141265e-01,7.993468333416582361e-01,7.993468333416582361e-01,9.659357943745913660e-39,1.526840903671462333e-51,1.024087956018618461e-43,4.953159099974708913e-37,7.878135212413464039e-01,7.878135212413464039e-01,1.413578116653146818e-28,2.890999579445962096e-28,1.266255308008527670e-43,6.013630616478229376e-30
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.063085459522832590e-28,5.089480733380362665e-01,5.343291215830052732e-01,9.695175998218489299e-01,9.695175998218489299e-01,2.336938526424463404e-31,8.454642119274816266e-41,8.652371148332918451e-35,1.819899599388612215e-31,9.632050740156721247e-01,9.632050740156721247e-01,2.915719311819700457e-25,8.787642660944260466e-25,9.768934120257991216e-37,3.777307585051920666e-26
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.999687763334772495e-01,9.999687763334772495e-01,1.023819487017282715e-20,1.901343753955322430e-09,3.062713227112615474e-13,6.458276518368308374e-141,9.999640666488249785e-01,9.999640666488249785e-01,1.644069055020690581e-39,4.509769331087125678e-33,9.703612486176231223e-154,5.110650858731331227e-78
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.337876868848687021e-255,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,6.035248004947437170e-269,1.818016733888388011e-288,1.709268031538976396e-278,1.782892538656177482e-265,4.837275685838092126e-33,4.837275685838092126e-33,1.947119677970571108e-227,2.664835640416702933e-231,5.555124815477167202e-273,1.864935681646976633e-240
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.035248004947437170e-269,1.818016733888388011e-288,1.709268031538976396e-278,1.782892538656177482e-265,4.837275685838092126e-33,4.837275685838092126e-33,1.947119677970571108e-227,2.664835640416702933e-231,5.555124815477167202e-273,1.864935681646976633e-240
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.216340724992460487e-01,7.280182322245258852e-01,1.046976377887165076e-44,1.782562314725299004e-04,1.782562314725299004e-04,2.128192055751169876e-33,4.485860509820041215e-38,1.300376964992648902e-60,2.253370793455750781e-34
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.561986795494999575e-07,7.741644766096726385e-29,6.392947206985206965e-02,6.392947206985206965e-02,1.309327928100115463e-25,5.340994278085975952e-28,6.447356843874545032e-46,2.093498344601710609e-25
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.616567571681375655e-34,9.359753339161553179e-03,9.359753339161553179e-03,1.647276709920759970e-28,9.095164129055322603e-32,4.377242731674834926e-54,1.375161933058741289e-28
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.888795215860469279e-01,1.888795215860469279e-01,8.843831212862729771e-20,1.059542877207274158e-32,1.070032843937948335e-91,2.943490819910418855e-20
