# ridge,lasso,enet,plsridge,plslasso,plsenet,pmridge,pmlasso,pmenet,pmplsridge,pmplslasso,pmplsenet,mskridge,msklasso,mskenet,mskplsridge,mskplslasso,mskplsenet,tskridge,tsklasso,tskenet,tskplsridge,tskplslasso,tskplsenet
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,8.171905683116548857e+00,-4.994990062153537025e+01,-4.994990062153537025e+01,-1.705000779670641009e+01,-7.342398618282311418e+01,-6.363275142561126074e+01,9.389263628994049427e+00,-4.994990062153537025e+01,-4.994990062153537025e+01,4.149503455505425542e+00,-2.797366292677747168e+00,2.566347127837670161e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.171905683116548857e+00,-4.994990062153537025e+01,-4.994990062153537025e+01,-1.705000779670641009e+01,-7.342398618282311418e+01,-6.363275142561126074e+01,9.389263628994049427e+00,-4.994990062153537025e+01,-4.994990062153537025e+01,4.149503455505425542e+00,-2.797366292677747168e+00,2.566347127837670161e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.539650367943048792e+01,-4.539650367943048792e+01,-1.046518278447845240e+01,-1.313752375255121052e+01,-1.266811989602007138e+01,4.870485695870712561e+00,-4.539650367943048792e+01,-4.539650367943048792e+01,-1.015729970656382264e+01,-9.919493495914579739e+00,-9.913378412604869183e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,4.883742583658093395e+01,4.864292375109855726e+01,4.860501002369684898e+01,4.578319221655054605e+01,nan,nan,4.674736889721086897e+01,4.894786127911055473e+01,4.801405237853904850e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.883742583658093395e+01,4.864292375109855726e+01,4.860501002369684898e+01,4.578319221655054605e+01,nan,nan,4.674736889721086897e+01,4.894786127911055473e+01,4.801405237853904850e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.157054456174226686e+01,-3.306418382175687753e+01,1.193866746395934619e+01,-4.883742583658093395e+01,-4.883742583658093395e+01,7.486609729459656748e+00,6.806157932678120304e+00,8.189011080580506530e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.351316400993835387e+01,1.458239927174598982e+01,-4.864292375109855726e+01,-4.864292375109855726e+01,1.215795614688840054e+01,2.235763133913004097e+01,1.604490319082441374e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.415533715152673189e+01,-4.860501002369684898e+01,-4.860501002369684898e+01,1.136153745330560128e+01,2.087490313445566059e+01,1.497840888869571607e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.578319221655054605e+01,-4.578319221655054605e+01,-1.326818104725749414e+01,-1.150520378885018502e+01,-1.194718314067893949e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,4.674736889721086897e+01,4.894786127911055473e+01,4.801405237853904850e+01
